Name,type,linked to,linked to 2,...,
EGF:F(EGFL|TNFa),EGFR,gene,,,
EGFR:F(EGF-R|HER2|HER3),PLC,MUCT1,ECADHERIN,VAV1,gene
VAV1,RAC1,gene,,,
RAC1,RHO,MEKK1,gene,,
RHO,RHO-PATH,gene,,,
RHO-PATH,RHO-CYTO,gene,,,
RHO-CYTO,,gene,,,
MEKK1,MKK47,gene,,,
MKK47,JKNS,,gene,,
JKNS,CFOS,CJUS,gene,,
CFOS,gene,,,,
CJUS,gene,,,,
MUCT1,B-CATENIN,,gene,,
ECADHERIN,CYTO-REG,,gene,,
B-CATENIN,CYTO-REG,gene,,,
CYTO-REG,,gene,,,
PLC,PIP2,gene,,,
PIP2,IP3,DAG,,gene,
IP3,CA,gene,,,
DAG,PKC,gene,,,
CA,COMK,ion,,
PKC,IKK,gene,,,
COMK,gene,,,,
IKK,NKFB,gene,,,
NKFB,CYTO-REG,gene,,,
RTK:F(VEGFR|HGFR),PDK1,gene,,,
PDK1,AKT,gene,,,
AKT,MDM2,BAD,gene,,
MDM2,p53,gene,,,
p53,gene,,,,
BAD,WEE1,p27,p21,gene,
WEE1,gene,,,,
p27,gene,,,,
p21,gene,,,,
WNT,FZD1,LRP,gene,,
FZD1,CK1,AXIN,DVL,GSK3,endpoint,
LRP,gene,,,,
CK1,gene,,,,
AXIN,gene,,,,
GSK3,gene,,,,
DVL,B-Catenin,Naked,PAR-1,gene,
PAR-1,gene,,,,
Naked,gene,,,,
B-Catenin,LEF,TCF,CBP,gene,
LEF,gene,,,,
TCF,gene,,,,
CBP,gene,,,,
